CONDITION_ID	PHENOTYPE_ID
10336	754|780|1312|1402|1439|1696|2163|3227|7931|11450|12167|12258|12641|12773|13434|14425|15630
10337	7211|11679|15557|15610|15925
10338	1696|2157|3124|12774|13919|17321|17582|17693|21491
10339	14517
1034	9295|12245|12324|12328|12331|12681|12694|13363|13525|18284|18288|19201
10340	12846|19594
10341	12846
10342	12846
10343	12846
10344	12846
10345	12846
10346	13529|20548
10347	12846
10348	12846
10349	12050|12505|12641|12653|14290|15694|17546
1035	1312|8520|9181|9295|11304|11527|12289|12682|12708|13289|13311|13363|14027|14216|14290|14567|14694|15031|15385|15419|15565|15691|15710|16014|16018|16549|17080|17278|17341|17414|18299|18347|19521|19522|19590|20061|20503|20617
10350	13788|20088
10351	13788|20088
10352	13788|20088
10353	13788|20088
10354	2199|19231|19232|19233
10355	2|2199|13334|13654|19588
10356	400|12846
10357	12777|19591
10358	12846
10359	759|762|764|1486|3123|5797|8960|11027|11311|12109|12144|12402|12603|13102|13288|15925|17295|19585
1036	77|86|95|633|1231|1544|1922|3902|5428|8979|11309|12052|12059|12488|12641|12653|12774|13334|13452|13676|13744|13949|14018|14205|14402|14471|15299|15513|15566|16015|16038|16049|16549|17414|18176|18183|18348|19487|19588|19794|19846|19852|19876|19877|19908|20178|21225
10360	11402|13553
10361	11402|11404|17917|19777|19779
10362	91|109|1468|13600
10363	2027|16743
10364	1260|11314|15832|16389
10365	1617|11612|11759|11774|11776|11778|13332|13774|13869|14629|15241|15477|16658|18501|18511
10366	871|9095|14428
10367	11325|12411|12457|12463|13830|13992|20229
10368	94|769|1176|1306|12634|19591
10369	7687|12533|14537|19598
1037	12846|13204|13531
10370	7687|12533|14537|19598
10371	597|1716|3123|11766|11771|11774|11815|12245|12310|13384|15177|16971|18503
10372	19596
10373	12846
10374	12846
10375	992|13576|16766
10376	16771
10377	1033|3123|12270|12274|12337|12349|12774|13909
10378	1033|3123|12258|12270|12274|12349|12774|13560|13909|19586
10379	12449|12490|19592
1038	764|793|1399|1404|2121|3798|3802|4257|5270|6600|8901|9295|12106|12114|12133|12151|12575|12580|13013|13064|13609|13676|15566|15582|15607|15925|16589|16755|16757|17082|17297|17298|18079|18499
10380	14350|17417
10381	13724|17417
10382	5797|7140|11404
10383	7730|7737|17414|18300|19872
10384	12433|13076|13077
10385	15509|15574|19596
10386	780|3113|11311|11783|11785|11905|12028|12463|12476|13459|14598|14815|17337|19599|20199
10387	2027|2121|12543|14497|16623|16717|16724|17097|17104|17140|17204|17207|17249
10388	12708|18299
10389	12846
1039	400|780|1425|1987|2064|3124|11311|11607|11612|11783|11785|11841|11905|12028|12171|12349|12463|12476|12532|12533|12709|12734|12774|13234|13459|13805|14598|14815|15579|16030|16247|16559|16657|17337|17933|18469|18866|18871|18872|19586|19592|19598|19599|20199
10390	12972|13603|14600|17894|21500
10391	10573|11868
10392	488|12274|12337|12774|13525|13527|14035|14054|15336|15906|15947
10393	19549|19592
10394	629|7463|15162|15164
10395	3122|3123|5797|13725|14350|18081|18556|19586
10396	12846
10397	5097|14216|14574|17130
10398	5097|14216|14301|14574|16993|17058
10399	12846
104	973|1001|8855|11309|12640|12641|17432
1040	1399|12324|12362|13067|13068|13210|13426|14133|16092|16975|17456|18017|19265|20436
10400	10100|12244|12304|12338|12367|13756
10401	7772|13089|15628
10402	12846
10403	12488|12846|14152|14267|14268|19593
10404	290|12265|12361|15820
10405	1813|11868|12449|12454|12486|12847|14537|14625|14730|15725|19601
10406	12846
10407	7639|11294|12337|13582|16288
10408	12846
10409	973|1033|1196|3123|5486|11335|11337|11446|11832|12355|12364|12858|12860|13986|14005|14371|14640|14765|16076|16086|16803|19191
1041	1033|1311|1364|1937|2027|3815|7380|7772|11294|11375|12272|12280|12341|12582|14206|14296|15715|16094
10410	2276|13354
10411	2276|13354
10412	317|14951|20462
10413	19592
10414	19592
10415	13075|13102
10416	14079|14080
10417	12745|13291|13994|18786|18787
10418	1196|6600|11875|12136|13833|14421|16256|19598
10419	12846
1042	1404|2236|11294|14361|17262|17266|20012|22515
10420	12846
10421	12846
10422	12846
10423	11338|11728|19587
10424	2027|7777|12568|13075|13102|13106|15581|15957|17091|17096|17213|17249
10425	12846
10426	14577|14598|14599|15046|15509|19596
10427	14577|14598|14599|15046|19596
10428	608|612|769|1161|2087|3164|16098|16104|17940|18279|18626|19589
10429	144|786|1073|1312|1402|1696|1982|3421|7931|11365|15301|15838|16131|17019|18237|19914
1043	12744|15344|15860
10430	11533|12430|12708
10431	17104|17140|17249
10432	19592
10433	1312|3123|7680|12258|12430|12720|12774|16953
10434	12846
10435	11383
10436	11379
10437	1430|1433|2589|10587|11294|11679|11697|12546|12774|13064|13073|13593|14497|14576|15496|15557|15670|16711|16712|16751|16752
10438	12805
10439	1716|11750|11771|11772|12328|12640|16957
1044	2247|3123|4385|5428|7665|9296|11185|11227|11240|11381|11402|12185|12774|13055|14011|14402|14764|15537|15717|16511|19370|19375|19586
10440	7756|15143|20461|20462
10441	2027|12641
10442	19594
10443	290|11169|13019|13475|13746|13747|14909|14912|14913|14914|14915|15282|15557|15681|15715|16720|17324|20462
10444	2117
10445	622|667|1073|1149|1627|1696|10814|11027|11141|11609|12718|15301|16146|18556
10446	14267|19596
10447	12846
10448	1196|2027|11027|11649|12106|12109|13604
10449	14589|16098
1045	8826|8860|9294|11280|14150|15348|15627|15740|15961|15962|16621|17110|17121|17143|18321
10450	1813|14537|19599
10451	3122|3123|8460|13990
10452	7955|12463|19609
10453	1228|12456|12847|14537|14625|14801|17325|19598|20676|20766
10454	12846
10455	2221|19761
10456	317|14951|14981|15282|20462
10457	19598
10458	811|824|1033|3123|5339|7210|11678|12263|14444|16796|17384|18115|19586|19598
10459	793|11489|11494|11732|12148|16152
1046	11375|11658|12087|14187|15607|15958|16394|16395|16590|17877|18270|18772
10460	2276|5797|13354|13664|14378|15651|15664|15974
10461	11402|12212|19777|19779
10462	16778
10463	11404|11808|11813|11828|11841|11868|11878|13385|13656|14225|18509|19588|21195
10464	1243|12774|18246|18282|19585|19588|19950
10465	4254|13725|13995|14537|17498|19598
10466	16094
10467	400|16036
10468	12641|12653|15694
10469	1950|3598|3617|8260|8338|8388|11342|11354|11729|13257|13372|19586
1047	11893|13534
10470	5307|11402|11424|15608|15723|15725|16565
10471	12846
10472	1247|3123|5797|14623|15669|18913|18915|18965|19585|19590
10473	1813|13649|14507|14537|16070|16206|19598
10474	1640|1813|5336|13649|14507|14537|16070|16206|19587|19608
10475	1578|12127|13649|16981
10476	2117|3815|8961|14361|16676
10477	12846|13715
10478	17412|18291
10479	18283
1048	11893|13531|13537
10480	17412|18291
10481	7210|12430|12708
10482	11240|11574|15550|18649
10483	1813|11325|12846|19591
10484	16075
10485	14541|15509|19596
10486	12846
10487	3107|8897|11335|12274
10488	924
10489	1289|1312|1430|3123|11674|12720|15842|18894
1049	8389|12300|13525|13560|15298|15355|15943|19585
10490	12167|14751|17940|17951|19585
10491	924|4669|4737|11738|11743|14536|19602
10492	13687
10493	19586
10494	12846
10495	780|1579|1586|19589
10496	4275|6999|11225|11379|13283|14244|14293|15374|18296
10497	975|12167|12300|13725|17417|19585
10498	19596
