CONDITION_ID	GENE_ID
OMIM:123000	ENSG00000119650|ENSG00000152661|ENSG00000154122|ENSG00000157796|ENSG00000167941
OMIM:123100	ENSG00000052850|ENSG00000066468|ENSG00000068078|ENSG00000077782|ENSG00000105722|ENSG00000120149|ENSG00000122691|ENSG00000140262|ENSG00000153283|ENSG00000157933|ENSG00000171456|ENSG00000185624
OMIM:123150	ENSG00000052850|ENSG00000066468|ENSG00000068078|ENSG00000077782|ENSG00000105722|ENSG00000120149|ENSG00000122691|ENSG00000140262|ENSG00000153283|ENSG00000157933|ENSG00000171456|ENSG00000185624
OMIM:123400	ENSG00000171867|ENSG00000225824
OMIM:123500	ENSG00000066468
OMIM:123700	ENSG00000049540|ENSG00000059573|ENSG00000090006|ENSG00000140092|ENSG00000165240|ENSG00000172638|ENSG00000183010|ENSG00000185344
OMIM:123790	ENSG00000066468
OMIM:124200	ENSG00000174437
OMIM:124500	ENSG00000017427|ENSG00000060718|ENSG00000081479|ENSG00000100345|ENSG00000100416|ENSG00000105409|ENSG00000105880|ENSG00000107485|ENSG00000121957|ENSG00000133835|ENSG00000135903|ENSG00000139734|ENSG00000162065|ENSG00000165474|ENSG00000177807|ENSG00000186895|ENSG00000197535|ENSG00000198246|ENSG00000261155
OMIM:124900	ENSG00000041982|ENSG00000083307|ENSG00000091010|ENSG00000100345|ENSG00000100473|ENSG00000105357|ENSG00000105928|ENSG00000109501|ENSG00000109927|ENSG00000112319|ENSG00000117013|ENSG00000121742|ENSG00000126778|ENSG00000131504|ENSG00000137474|ENSG00000152492|ENSG00000152591|ENSG00000165091|ENSG00000165474|ENSG00000179520|ENSG00000184009|ENSG00000184047|ENSG00000187848|ENSG00000188910|ENSG00000196586|ENSG00000199158|ENSG00000206290|ENSG00000235708|ENSG00000267807
OMIM:125310	ENSG00000074181
OMIM:125350	ENSG00000072840|ENSG00000160801|ENSG00000173040
OMIM:125370	ENSG00000111676
OMIM:125400	ENSG00000112562|ENSG00000152591
OMIM:125420	ENSG00000112562|ENSG00000152591
OMIM:125490	ENSG00000152591
OMIM:125500	ENSG00000152591
OMIM:125595	ENSG00000106344|ENSG00000109101|ENSG00000115827|ENSG00000132669|ENSG00000163347|ENSG00000166033|ENSG00000168453|ENSG00000169604|ENSG00000186847
OMIM:125700	ENSG00000101200
OMIM:125800	ENSG00000126895|ENSG00000167580
OMIM:125850	ENSG00000101076|ENSG00000106331|ENSG00000106633|ENSG00000108753|ENSG00000135100|ENSG00000136573|ENSG00000139515|ENSG00000162992|ENSG00000170835|ENSG00000172059|ENSG00000254647|ENSG00000275410
