HGENE_ENSEMBL_ID	CONDITION_ID
ENSG00000113273	OMIM:253200
ENSG00000113327	OMIM:607681
ENSG00000113368	OMIM:169500
ENSG00000113448	OMIM:606799
ENSG00000113594	OMIM:601559
ENSG00000113721	OMIM:601812
ENSG00000113851	OMIM:607417
ENSG00000113889	OMIM:228960
ENSG00000113924	OMIM:203500
ENSG00000113946	OMIM:248250
ENSG00000113966	OMIM:209900|OMIM:600151
ENSG00000113971	OMIM:208540|OMIM:267010|OMIM:604387
ENSG00000114026	OMIM:144700
ENSG00000114054	OMIM:606054
ENSG00000114062	OMIM:105830
ENSG00000114251	OMIM:180700
ENSG00000114270	OMIM:131705|OMIM:131750|OMIM:131850|OMIM:132000|OMIM:226600|OMIM:604129|OMIM:607523
ENSG00000114353	OMIM:192605
ENSG00000114354	OMIM:604484
ENSG00000114374	OMIM:415000
ENSG00000114378	OMIM:601492
ENSG00000114480	OMIM:232500|OMIM:263570
ENSG00000114491	OMIM:258900
ENSG00000114737	OMIM:607948
ENSG00000114859	OMIM:607628
ENSG00000114956	OMIM:251880
ENSG00000115020	OMIM:121850
ENSG00000115085	OMIM:269840
ENSG00000115138	OMIM:601665
ENSG00000115155	OMIM:601071
ENSG00000115159	OMIM:125853
ENSG00000115170	OMIM:135100
ENSG00000115204	OMIM:256810
ENSG00000115211	OMIM:603896
ENSG00000115267	OMIM:182250
ENSG00000115275	OMIM:606056
ENSG00000115286	OMIM:252010|OMIM:256000
ENSG00000115339	OMIM:211900
ENSG00000115355	OMIM:260565
ENSG00000115380	OMIM:126600
ENSG00000115414	OMIM:601894
ENSG00000115474	OMIM:193230
ENSG00000115486	OMIM:277450
ENSG00000115657	OMIM:111600
ENSG00000115665	OMIM:158580
ENSG00000115705	OMIM:274500
ENSG00000115718	OMIM:176860
ENSG00000115758	OMIM:114500
ENSG00000115827	OMIM:241080
ENSG00000115839	OMIM:600118
ENSG00000115850	OMIM:223000
ENSG00000115904	OMIM:135300
ENSG00000115919	OMIM:236800
ENSG00000116001	OMIM:604454
ENSG00000116014	OMIM:176400
